name	map	inst-logo	color
BNRHP	bnrhp.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
CAAL	caal.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-ucl.png	#eaa416
EAMENA	eamena.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-eamena.png	#956d43
HKHP	hkhp.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
IMAP	imap.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
JNIHP	jnihp.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
MAESAM	maesam.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-cambridge.png	#4bc3bf
MAHSA	mahsa.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-cambridge.png	#c354a1
MAPHSA	maphsa.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-upf.png	#fa7770
MAPSS	mapss.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-maxplanck.png	#f5a16c
MHS	mhs.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
NHDP	nhdp.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
PHM	phm.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
SDDP	sddp.geojson	https://raw.githubusercontent.com/achp-project/cultural-heritage/main/www/inst-z.png	#808080
